,PUF_ID,Age Group,Education (Highest Degree),Race/Ethnicity,Gender,Household Income,Household Size,Federal Poverty Level,Census Region,Census Division,I could handle a major unexpected expense.,I am just getting by financially,I struggle to understand financial information,How would you assess your overall financial knowledge?,I follow-through on financial goals I set for myself.,I set financial goals for what I want to achieve with my money,I consult my budget to see how much money I have left,Stayed within your budget or spending plan,Paid all your bills on time,Paid off credit card balance in full,Putting money into savings is a habit for me,A Retirement Savings Account,A Non-Retirement Savings Account,How much money do you have in savings today?,Which one of the following best describes your housing situation?,About how much do you pay for your home each month?,What do you owe on your home?,Student/Education Loan (for yourself or someone else),Used payday loan or cash advance loan,Used pawn loan or auto title loan,Financial Well-Being Scale score,Financial Skill Scale score
10,13180,18-24,Some college/Associate,"White, Non-Hispanic",Male,"$60,000 to $74,999",5+,200%+ FPL,West,Mountain,Completely,Completely,Rarely,5,5,5,5,5,5,5,6,7,1,6,2,3,-2,0,0,0,78,66
11,10127,62-69,Bachelors degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,West,Mountain,Very well,Very little,Rarely,5,4,4,4,5,5,5,5,1,1,7,1,5,1,0,0,0,62,57
12,7852,18-24,Some college/Associate,"White, Non-Hispanic",Female,"$30,000 to $39,999",4,100%-199% FPL,South,West-South Central,Somewhat,Very well,Often,5,4,3,5,5,5,1,5,7,7,4,3,99,-2,0,0,0,50,49
13,7376,25-34,Bachelors degree,"White, Non-Hispanic",Male,"$150,000 or more",3,200%+ FPL,West,Pacific,Very little,Very well,Often,1 - Very low,1,1,1,1,1,1,1,7,7,1,3,1,-2,0,0,0,40,30
14,8304,25-34,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",3,200%+ FPL,South,South Atlantic,Completely,Very little,Never,7 - Very high,4,5,5,4,5,5,6,1,0,7,1,7,3,1,0,0,61,71
15,11726,25-34,Less than high school,Hispanic,Male,"$20,000 to $29,999",5+,<100% FPL,South,South Atlantic,Very well,Not at all,Sometimes,4,3,3,5,4,5,1,5,7,1,5,2,1,-2,0,0,0,69,48
16,11221,18-24,High school degree/GED,"White, Non-Hispanic",Male,"Less than $20,000",5+,<100% FPL,West,Pacific,Not at all,Completely,Rarely,4,5,4,2,5,1,1,2,7,7,2,3,99,-2,0,0,0,37,32
17,8121,18-24,Some college/Associate,"White, Non-Hispanic",Female,"$30,000 to $39,999",2,200%+ FPL,South,West-South Central,Somewhat,Somewhat,Rarely,5,3,4,4,3,5,1,2,7,7,3,2,4,-2,0,0,0,52,40
18,8122,70-74,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,Northeast,New England,Very well,Not at all,Never,7 - Very high,3,3,2,2,5,5,5,0,0,7,1,1,1,0,0,0,69,50
19,12990,62-69,High school degree/GED,"Black, Non-Hispanic",Female,"$20,000 to $29,999",1,100%-199% FPL,South,South Atlantic,Very little,Somewhat,Always,7 - Very high,5,5,5,5,5,5,4,0,0,99,1,99,99,0,0,0,67,79
20,10548,35-44,Some college/Associate,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,West,Mountain,Very little,Very well,Sometimes,3,3,2,2,2,5,3,4,1,1,5,1,6,3,0,0,0,40,38
21,13389,45-54,Bachelors degree,"Other, Non-Hispanic",Male,"$60,000 to $74,999",5+,200%+ FPL,West,Pacific,Very little,Somewhat,Sometimes,5,3,3,3,3,5,5,4,0,0,6,1,5,2,0,0,0,51,41
22,10351,62-69,Graduate/professional degree,"Other, Non-Hispanic",Male,"$100,000 to $149,999",1,200%+ FPL,West,Pacific,Somewhat,Somewhat,Sometimes,5,4,4,4,5,5,5,5,1,1,6,1,6,2,0,0,0,61,54
23,13255,25-34,Some college/Associate,"White, Non-Hispanic",Female,"$40,000 to $49,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very little,Very well,Sometimes,4,3,3,4,2,2,3,1,7,0,3,2,5,-2,0,0,0,37,49
24,7853,35-44,Some college/Associate,"Black, Non-Hispanic",Female,"$100,000 to $149,999",1,200%+ FPL,Midwest,West-North Central,Very well,Completely,Always,4,4,5,5,5,5,5,6,0,1,99,2,4,-2,0,0,0,47,75
25,12675,75+,Bachelors degree,Hispanic,Male,"$75,000 to $99,999",5+,200%+ FPL,South,West-South Central,Somewhat,Not at all,Never,6,4,4,5,5,5,3,4,0,1,6,2,5,-2,0,0,0,64,68
26,11353,75+,High school degree/GED,"White, Non-Hispanic",Male,"$100,000 to $149,999",1,200%+ FPL,South,East-South Central,Completely,Completely,Sometimes,6,4,3,2,3,5,5,5,0,1,7,1,1,1,0,0,0,80,51
27,9433,45-54,Some college/Associate,"Black, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Sometimes,5,4,4,4,4,5,4,6,1,1,6,2,5,-2,0,0,0,63,50
28,12518,55-61,High school degree/GED,"White, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,West,Pacific,Very well,Somewhat,Rarely,5,4,4,5,5,5,3,4,0,0,5,1,5,2,0,0,0,52,61
29,10549,75+,High school degree/GED,"White, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,Midwest,East-North Central,Very well,Very little,Sometimes,5,3,3,3,4,5,5,4,7,1,6,1,99,1,0,0,0,62,48
30,8518,35-44,High school degree/GED,"White, Non-Hispanic",Male,"Less than $20,000",2,<100% FPL,Northeast,Mid-Atlantic,Very little,Very well,Often,2,3,4,4,3,5,1,4,7,7,99,3,1,-2,0,0,0,40,31
31,11727,35-44,High school degree/GED,"White, Non-Hispanic",Male,"$20,000 to $29,999",4,<100% FPL,South,South Atlantic,Very little,Completely,Sometimes,2,2,4,5,4,5,1,3,7,7,1,1,99,99,0,0,0,33,35
32,10911,25-34,Some college/Associate,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,South,South Atlantic,Very little,Very little,Rarely,5,2,2,5,4,5,2,2,1,0,4,2,5,-2,0,0,0,45,42
33,8945,25-34,High school degree/GED,"Black, Non-Hispanic",Female,"$30,000 to $39,999",4,100%-199% FPL,Midwest,East-North Central,Not at all,Not at all,Rarely,4,2,4,4,1,2,1,2,7,7,1,2,1,-2,0,0,0,33,37
34,11354,18-24,Some college/Associate,Hispanic,Male,"Less than $20,000",5+,<100% FPL,West,Pacific,Somewhat,Very little,Sometimes,5,4,4,3,4,4,4,6,0,1,4,2,5,-2,0,0,0,54,51
35,12162,25-34,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,South,South Atlantic,Not at all,Completely,Sometimes,3,2,2,3,2,5,5,3,1,7,98,2,6,-2,0,0,0,39,28
36,7854,35-44,High school degree/GED,"White, Non-Hispanic",Male,"$60,000 to $74,999",3,200%+ FPL,Midwest,East-North Central,Somewhat,Very well,Rarely,5,4,4,3,4,5,5,2,0,0,1,1,1,1,0,0,0,56,50
37,11080,55-61,Some college/Associate,"Black, Non-Hispanic",Male,"$20,000 to $29,999",2,100%-199% FPL,South,South Atlantic,Not at all,Completely,Sometimes,5,5,5,4,2,2,1,2,7,7,2,1,4,2,0,0,0,38,43
38,10757,62-69,Some college/Associate,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,West,Pacific,Very well,Not at all,Rarely,6,4,4,5,5,5,5,6,1,0,7,1,1,1,0,0,0,77,57
39,10758,45-54,Graduate/professional degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",5+,200%+ FPL,South,South Atlantic,Very well,Very little,Rarely,6,4,4,4,4,5,5,6,1,1,5,1,4,2,0,0,0,57,76
40,10128,62-69,Some college/Associate,"White, Non-Hispanic",Female,"$150,000 or more",2,200%+ FPL,West,Pacific,Completely,Very little,Rarely,5,4,2,2,1,5,5,2,0,0,6,1,7,3,0,0,0,71,61
41,12639,18-24,Graduate/professional degree,"White, Non-Hispanic",Female,"$30,000 to $39,999",2,200%+ FPL,South,South Atlantic,Somewhat,Refused,Never,6,5,5,1,5,5,5,6,7,7,7,1,7,99,0,0,0,76,70
42,14399,62-69,Some college/Associate,"Other, Non-Hispanic",Female,"$75,000 to $99,999",2,200%+ FPL,South,East-South Central,Very little,Somewhat,Sometimes,5,4,4,4,4,5,4,4,1,0,7,1,1,1,0,0,0,52,60
43,10352,25-34,Bachelors degree,"White, Non-Hispanic",Female,"$30,000 to $39,999",4,100%-199% FPL,South,South Atlantic,Very little,Very well,Sometimes,5,2,4,4,3,5,2,3,1,0,5,3,3,-2,1,0,0,51,39
44,12163,45-54,Bachelors degree,"White, Non-Hispanic",Male,"$50,000 to $59,999",2,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Completely,Sometimes,5,3,4,3,5,5,2,2,7,7,4,1,6,2,0,0,0,30,61
45,10353,25-34,High school degree/GED,"White, Non-Hispanic",Male,"$40,000 to $49,999",3,200%+ FPL,Midwest,East-North Central,Very little,Somewhat,Sometimes,4,3,3,4,5,5,1,3,1,7,99,3,4,-2,0,0,0,60,40
46,12676,62-69,Some college/Associate,"White, Non-Hispanic",Male,"$20,000 to $29,999",1,100%-199% FPL,West,Mountain,Not at all,Completely,Sometimes,Refused,3,3,5,4,5,4,3,-1,-1,4,1,5,2,0,0,0,34,60
47,8305,75+,Graduate/professional degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,Midwest,East-North Central,Completely,Completely,Rarely,5,5,3,2,5,5,5,5,1,0,99,1,98,1,0,0,0,76,55
48,9182,62-69,High school degree/GED,"White, Non-Hispanic",Female,"$40,000 to $49,999",2,200%+ FPL,West,Pacific,Somewhat,Very well,Always,4,3,2,4,3,5,1,3,7,7,99,1,99,98,0,0,0,50,43
49,8946,45-54,Some college/Associate,"White, Non-Hispanic",Female,"$60,000 to $74,999",3,200%+ FPL,West,Mountain,Very little,Somewhat,Rarely,5,4,4,4,4,5,1,2,1,0,4,1,4,2,0,0,0,47,43
50,14079,25-34,Bachelors degree,Hispanic,Male,"$30,000 to $39,999",5+,<100% FPL,West,Pacific,Not at all,Somewhat,Often,4,3,3,2,2,3,1,2,0,1,2,2,5,-2,1,1,0,37,27
51,13243,55-61,High school degree/GED,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,Midwest,West-North Central,Very well,Very little,Rarely,6,4,4,5,4,5,5,6,1,1,6,1,7,-1,0,0,0,71,64
52,9183,25-34,Some college/Associate,Hispanic,Male,"$60,000 to $74,999",3,200%+ FPL,Midwest,East-North Central,Very little,Somewhat,Sometimes,5,4,4,4,4,5,5,5,0,1,5,1,5,1,0,0,0,47,49
53,12560,45-54,Graduate/professional degree,Hispanic,Female,"$150,000 or more",5+,200%+ FPL,West,Pacific,Somewhat,Somewhat,Rarely,6,3,4,4,4,4,1,5,1,0,3,2,7,-2,1,0,0,43,55
54,11222,62-69,Some college/Associate,Hispanic,Female,"$30,000 to $39,999",2,200%+ FPL,Northeast,New England,Somewhat,Somewhat,Sometimes,5,3,4,4,5,5,5,4,1,1,99,1,7,98,0,0,0,50,41
55,11081,70-74,Graduate/professional degree,"White, Non-Hispanic",Female,"$50,000 to $59,999",1,200%+ FPL,Midwest,East-North Central,Very well,Completely,Sometimes,5,4,4,3,4,5,3,6,1,1,5,1,2,1,0,0,0,59,53
56,8947,35-44,Graduate/professional degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",5+,200%+ FPL,West,Mountain,Very well,Very little,Sometimes,5,4,4,4,4,5,5,6,1,1,7,2,5,-2,0,0,0,61,56
57,8306,55-61,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,Northeast,Mid-Atlantic,Very well,Very little,Rarely,6,4,5,5,4,5,5,6,1,0,5,1,7,3,0,0,0,69,64
58,9915,45-54,Bachelors degree,"Other, Non-Hispanic",Female,"$150,000 or more",3,200%+ FPL,South,West-South Central,Very well,Not at all,Never,6,3,3,1,3,5,4,5,1,1,5,1,7,3,0,0,0,70,58
59,8712,25-34,High school degree/GED,"White, Non-Hispanic",Female,"$75,000 to $99,999",4,200%+ FPL,Midwest,East-North Central,Not at all,Very little,Rarely,5,3,4,5,5,4,2,4,1,1,4,2,2,-2,0,0,0,42,45
60,12710,62-69,Some college/Associate,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,South,East-South Central,Completely,Not at all,Sometimes,5,5,4,4,5,5,1,5,7,7,6,1,1,1,0,0,0,73,53
61,10129,62-69,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",5+,200%+ FPL,Northeast,Mid-Atlantic,Very well,Very well,Sometimes,5,4,4,3,4,5,5,5,0,1,7,1,7,3,0,0,0,62,55
62,11082,62-69,Graduate/professional degree,"White, Non-Hispanic",Female,"$75,000 to $99,999",3,200%+ FPL,South,South Atlantic,Very well,Very little,Sometimes,4,4,3,5,5,5,5,6,1,1,99,1,99,99,0,0,0,62,55
63,12298,35-44,Bachelors degree,"White, Non-Hispanic",Male,"$60,000 to $74,999",1,200%+ FPL,Northeast,New England,Very well,Very little,Often,4,5,4,4,4,4,4,6,1,0,6,1,4,2,0,0,0,52,56
64,10759,35-44,Graduate/professional degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",4,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Very little,Rarely,6,4,4,4,4,5,4,5,1,0,7,1,7,3,1,0,0,63,61
65,9184,45-54,Some college/Associate,"White, Non-Hispanic",Female,"$150,000 or more",3,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Somewhat,Often,4,4,4,4,3,5,3,6,1,0,4,1,7,2,1,0,0,50,51
66,8713,75+,Graduate/professional degree,"White, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,Midwest,West-North Central,Somewhat,Very well,Rarely,5,4,4,4,5,5,5,6,1,0,7,1,99,99,0,0,0,56,49
67,9434,55-61,High school degree/GED,"White, Non-Hispanic",Male,"$50,000 to $59,999",2,200%+ FPL,South,South Atlantic,Not at all,Somewhat,Often,4,3,4,4,5,5,1,5,1,1,5,1,4,2,0,0,0,50,43
68,10912,62-69,High school degree/GED,"Black, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,South,West-South Central,Somewhat,Somewhat,Sometimes,5,4,4,4,4,5,5,6,1,1,6,1,2,1,0,0,0,59,44
69,10130,62-69,High school degree/GED,"White, Non-Hispanic",Female,"$150,000 or more",2,200%+ FPL,South,South Atlantic,Somewhat,Somewhat,Sometimes,5,3,3,3,3,5,3,5,7,1,5,1,7,3,0,0,0,50,41
70,8308,35-44,Some college/Associate,"White, Non-Hispanic",Male,"$30,000 to $39,999",4,100%-199% FPL,South,South Atlantic,Completely,Not at all,Never,6,5,5,5,5,5,5,6,1,1,99,2,5,-2,0,0,0,86,79
71,10550,62-69,Some college/Associate,Hispanic,Male,"$50,000 to $59,999",3,200%+ FPL,West,Pacific,Very little,Somewhat,Often,4,3,4,5,3,4,4,4,1,0,7,1,6,3,0,0,0,50,37
72,8714,35-44,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",4,200%+ FPL,Northeast,New England,Somewhat,Very little,Sometimes,4,4,3,4,4,5,5,6,1,1,6,1,6,2,0,0,0,56,44
73,7314,35-44,Some college/Associate,"White, Non-Hispanic",Female,"$100,000 to $149,999",3,200%+ FPL,South,South Atlantic,Very well,Somewhat,Rarely,6,5,5,5,4,5,5,6,1,1,5,1,5,2,1,0,0,59,61
74,14099,62-69,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,South,South Atlantic,Completely,Not at all,Sometimes,5,5,5,3,5,5,5,5,0,0,6,2,7,-2,0,0,0,81,64
75,7315,25-34,Bachelors degree,"White, Non-Hispanic",Male,"$150,000 or more",4,200%+ FPL,South,West-South Central,Somewhat,Very well,Sometimes,5,3,4,3,3,3,4,5,0,1,6,1,7,3,1,0,0,43,47
76,12751,25-34,Less than high school,Hispanic,Female,"$30,000 to $39,999",2,200%+ FPL,South,West-South Central,Not at all,Completely,Rarely,4,4,5,5,3,4,2,4,7,1,2,2,4,-2,0,1,1,31,55
77,11499,45-54,Bachelors degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,South,South Atlantic,Somewhat,Somewhat,Rarely,5,4,4,4,3,4,3,5,1,1,4,1,5,2,0,0,0,52,48
78,8309,62-69,Some college/Associate,"White, Non-Hispanic",Female,"$40,000 to $49,999",1,200%+ FPL,South,South Atlantic,Somewhat,Somewhat,Sometimes,Refused,3,3,4,1,4,5,5,1,1,99,1,99,99,0,0,0,49,37
79,8948,75+,Bachelors degree,"White, Non-Hispanic",Female,"$150,000 or more",2,200%+ FPL,Midwest,East-North Central,Completely,Not at all,Rarely,5,5,4,5,5,5,5,5,7,1,7,1,1,1,0,0,0,83,60
80,11223,35-44,Bachelors degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",4,200%+ FPL,South,East-South Central,Very well,Not at all,Sometimes,5,4,5,5,4,5,5,6,1,1,6,1,5,2,0,0,0,70,67
81,14078,70-74,Bachelors degree,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,South,East-South Central,Very well,Not at all,Rarely,6,4,4,4,5,5,5,6,0,0,7,1,5,1,0,0,0,72,57
82,10551,55-61,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",1,200%+ FPL,Northeast,Mid-Atlantic,Somewhat,Very little,Rarely,5,5,5,5,4,5,4,5,1,1,5,1,7,3,0,0,0,55,55
83,7994,25-34,Bachelors degree,"White, Non-Hispanic",Male,"$60,000 to $74,999",3,200%+ FPL,Midwest,East-North Central,Somewhat,Very little,Rarely,6,3,4,4,3,5,4,6,1,1,4,1,5,2,1,0,0,59,58
84,8949,62-69,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,South,South Atlantic,Somewhat,Somewhat,Rarely,5,4,4,3,4,5,5,5,1,1,7,1,5,1,0,0,0,67,51
85,7995,35-44,High school degree/GED,"White, Non-Hispanic",Male,"Less than $20,000",5+,<100% FPL,West,Pacific,Completely,Completely,Always,6,5,4,4,5,5,5,6,0,0,2,2,1,-2,0,0,0,26,79
86,10552,75+,High school degree/GED,"White, Non-Hispanic",Female,"$100,000 to $149,999",2,200%+ FPL,Northeast,Mid-Atlantic,Very well,Somewhat,Sometimes,5,5,4,4,5,5,5,5,-1,1,5,1,99,1,0,0,0,55,42
87,11224,75+,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,West,Mountain,Completely,Not at all,Rarely,7 - Very high,5,5,5,5,5,5,6,7,7,5,1,1,1,0,0,0,86,77
88,8519,62-69,Bachelors degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,Midwest,East-North Central,Very well,Not at all,Never,5,4,4,4,4,5,5,6,1,0,5,1,1,1,0,0,0,78,46
89,7225,35-44,Bachelors degree,"White, Non-Hispanic",Female,"$150,000 or more",3,200%+ FPL,South,South Atlantic,Completely,Not at all,Sometimes,4,4,5,3,5,5,5,6,1,1,7,2,7,-2,0,0,0,66,59
90,9916,70-74,Bachelors degree,"White, Non-Hispanic",Male,"$40,000 to $49,999",3,200%+ FPL,South,South Atlantic,Very well,Very little,Rarely,4,3,2,3,4,5,5,5,7,7,99,1,1,99,0,0,0,62,46
91,11225,25-34,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",4,200%+ FPL,Midwest,West-North Central,Very well,Very little,Sometimes,5,4,4,5,4,5,5,6,1,1,7,1,6,2,0,0,0,62,56
92,10131,55-61,High school degree/GED,"White, Non-Hispanic",Male,"$50,000 to $59,999",2,200%+ FPL,South,South Atlantic,Somewhat,Very well,Sometimes,4,3,3,4,2,3,2,4,7,7,-1,1,99,99,0,0,0,47,42
93,9435,70-74,High school degree/GED,"White, Non-Hispanic",Female,"$30,000 to $39,999",2,200%+ FPL,Midwest,East-North Central,Very well,Very little,Sometimes,5,5,5,3,5,5,5,5,7,7,7,1,99,99,0,0,0,72,64
94,8715,45-54,Graduate/professional degree,Hispanic,Male,"$150,000 or more",3,200%+ FPL,South,South Atlantic,Somewhat,Very little,Rarely,5,2,4,4,5,5,5,6,7,0,5,3,99,-2,0,0,0,50,41
95,11226,75+,High school degree/GED,"White, Non-Hispanic",Male,"$20,000 to $29,999",2,100%-199% FPL,Northeast,Mid-Atlantic,Very well,Very little,Rarely,6,4,5,5,5,5,5,5,0,0,99,1,1,-1,0,0,0,77,57
96,13232,62-69,Bachelors degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",2,200%+ FPL,South,West-South Central,Very well,Very little,Rarely,5,5,3,2,5,5,4,6,1,1,6,1,1,1,0,0,0,67,62
97,11925,45-54,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",3,200%+ FPL,Northeast,New England,Very little,Very little,Often,2,2,1,1,3,3,1,1,7,7,98,1,5,2,1,0,0,40,32
98,8310,35-44,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",3,200%+ FPL,South,West-South Central,Very well,Very little,Sometimes,4,4,4,2,4,5,5,4,0,0,6,1,5,2,0,0,0,61,48
99,11831,25-34,High school degree/GED,"White, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,West,Pacific,Somewhat,Very little,Sometimes,5,4,5,5,4,4,3,3,7,7,99,2,4,-2,0,0,0,59,59
100,9436,45-54,Some college/Associate,"White, Non-Hispanic",Male,"$40,000 to $49,999",2,200%+ FPL,Northeast,New England,Not at all,Completely,Often,4,3,3,3,1,4,1,1,0,0,1,2,6,-2,0,0,0,16,39
101,12015,62-69,Some college/Associate,"White, Non-Hispanic",Male,"$50,000 to $59,999",1,200%+ FPL,West,Mountain,Very well,Not at all,Sometimes,5,4,4,4,5,5,5,6,0,1,6,1,1,1,0,0,0,66,47
102,12780,62-69,Graduate/professional degree,"White, Non-Hispanic",Male,"$150,000 or more",2,200%+ FPL,Midwest,West-North Central,Somewhat,Very well,Rarely,4,3,4,3,4,4,4,4,1,1,5,1,7,3,0,0,0,57,44
103,8950,55-61,Graduate/professional degree,"White, Non-Hispanic",Male,"$60,000 to $74,999",2,200%+ FPL,Northeast,New England,Somewhat,Very little,Rarely,7 - Very high,4,5,5,5,5,4,5,1,0,5,1,2,2,1,0,0,58,67
104,11227,62-69,Some college/Associate,"White, Non-Hispanic",Female,"Less than $20,000",1,100%-199% FPL,South,East-South Central,Not at all,Somewhat,Rarely,6,4,4,3,5,5,5,5,0,1,3,2,2,-2,0,0,0,64,82
105,9437,45-54,Graduate/professional degree,"White, Non-Hispanic",Female,"$150,000 or more",5+,200%+ FPL,West,Pacific,Very well,Very little,Sometimes,5,4,4,4,5,5,5,5,1,7,5,1,6,3,0,0,0,63,52
106,10554,55-61,Some college/Associate,"White, Non-Hispanic",Male,"$75,000 to $99,999",2,200%+ FPL,Midwest,East-North Central,Very well,Very well,Sometimes,5,4,4,4,4,5,2,4,1,0,5,1,1,1,0,0,0,55,49
107,10132,45-54,High school degree/GED,Hispanic,Female,"$75,000 to $99,999",2,200%+ FPL,South,West-South Central,Very well,Very little,Sometimes,5,3,4,4,4,5,4,4,1,1,6,1,5,2,1,0,0,66,46
108,11083,62-69,Less than high school,"White, Non-Hispanic",Female,"$20,000 to $29,999",5+,<100% FPL,West,Pacific,Not at all,Completely,Sometimes,5,4,4,4,3,4,1,1,7,7,1,2,3,-2,0,0,0,38,40
109,7380,25-34,Graduate/professional degree,"White, Non-Hispanic",Male,"$100,000 to $149,999",4,200%+ FPL,South,West-South Central,Completely,Very little,Rarely,6,4,4,5,4,5,5,6,1,1,5,1,5,2,1,0,0,70,56
110,8520,25-34,High school degree/GED,"White, Non-Hispanic",Female,"$75,000 to $99,999",4,200%+ FPL,South,South Atlantic,Not at all,Very little,Often,3,2,4,4,2,2,1,2,0,0,1,2,5,-2,0,0,0,38,25
111,12752,18-24,Less than high school,"Black, Non-Hispanic",Female,"Less than $20,000",4,<100% FPL,Midwest,East-North Central,Very little,Somewhat,Rarely,6,5,5,4,4,5,1,5,0,0,98,2,3,-2,0,0,0,55,58
112,10760,70-74,Some college/Associate,"White, Non-Hispanic",Female,"$60,000 to $74,999",2,200%+ FPL,South,South Atlantic,Very well,Very little,Sometimes,4,4,3,2,4,5,5,4,0,0,6,1,3,2,0,0,0,64,51
113,12235,25-34,Graduate/professional degree,"White, Non-Hispanic",Female,"$100,000 to $149,999",1,200%+ FPL,West,Pacific,Somewhat,Very little,Sometimes,5,4,5,4,4,5,5,6,1,1,4,1,6,3,0,0,0,55,49
